month,educationlevel,avg_wage_amt,avg_food_amt,avg_education_amt,avg_shelter_amt,avg_earning_amt,avg_spend_amt,avg_balance_amt
2022-04,Graduate,5796.96,-358.17,-13.12,-687.83,5796.96,1059.13,5454.17
2022-04,Bachelors,4714.47,-346.37,-10.25,-656.93,4714.47,1013.54,4393.66
2022-04,HighSchoolOrCollege,2960.72,-342.4,-14.67,-616.73,2960.72,973.8,2671.73
2022-04,Low,2501.68,-331.37,-11.18,-541.44,2501.68,883.99,2280.42
2022-05,Graduate,6074.17,-367.23,-13.12,-687.83,6074.17,1068.19,5740.45
2022-05,Bachelors,4921.42,-356.37,-10.25,-656.93,4921.42,1023.55,4610.61
2022-05,HighSchoolOrCollege,3087.42,-353.59,-14.67,-613.25,3087.42,981.5,2813.1
2022-05,Low,2603.49,-343.46,-11.18,-541.44,2603.49,896.08,2394.33
2022-06,Graduate,6065.73,-354.98,-13.12,-687.83,6065.73,1055.94,5719.75
2022-06,Bachelors,4912.91,-344.52,-10.25,-656.93,4912.91,1011.7,4590.25
2022-06,HighSchoolOrCollege,3067.3,-341.49,-14.67,-613.25,3067.3,969.4,2780.87
2022-06,Low,2562.76,-330.83,-11.18,-541.44,2562.76,883.45,2340.97
2022-07,Graduate,5806.65,-367.73,-13.12,-687.83,5806.65,1068.69,5473.42
2022-07,Bachelors,4732.99,-357.97,-10.25,-656.93,4732.99,1025.15,4423.78
2022-07,HighSchoolOrCollege,2982.01,-353.23,-14.67,-613.25,2982.01,981.14,2707.32
2022-07,Low,2539.44,-342.75,-11.18,-541.44,2539.44,895.37,2329.57
2022-08,Graduate,6336.33,-366.69,-13.12,-687.83,6336.33,1067.65,6002.06
2022-08,Bachelors,5121.45,-356.28,-10.25,-656.93,5121.45,1023.46,4810.55
2022-08,HighSchoolOrCollege,3195.73,-352.42,-14.67,-613.25,3195.73,980.34,2920.24
2022-08,Low,2676.05,-341.5,-11.18,-541.44,2676.05,894.12,2464.93
2022-09,Graduate,6065.69,-355.29,-13.12,-687.83,6065.69,1056.25,5720.02
2022-09,Bachelors,4911.76,-344.27,-10.25,-656.93,4911.76,1011.45,4588.86
2022-09,HighSchoolOrCollege,3072.35,-341.45,-14.67,-613.25,3072.35,969.36,2785.89
2022-09,Low,2558.48,-330.61,-11.18,-541.44,2558.48,883.23,2336.48
2022-10,Graduate,5809.43,-368.21,-13.12,-687.83,5809.43,1069.17,5476.68
2022-10,Bachelors,4729.69,-356.54,-10.25,-656.93,4729.69,1023.71,4419.05
2022-10,HighSchoolOrCollege,2977.14,-353.21,-14.67,-613.25,2977.14,981.12,2702.44
2022-10,Low,2537.62,-343.02,-11.18,-541.44,2537.62,895.64,2328.02
2022-11,Graduate,6061.76,-355.2,-13.12,-687.83,6061.76,1056.16,5716.0
2022-11,Bachelors,4907.34,-344.24,-10.25,-656.93,4907.34,1011.42,4584.4
2022-11,HighSchoolOrCollege,3066.35,-341.3,-14.67,-613.25,3066.35,969.21,2779.74
2022-11,Low,2574.14,-331.64,-11.18,-541.44,2574.14,884.27,2353.17
2022-12,Graduate,6071.86,-366.74,-13.12,-687.83,6071.86,1067.7,5737.65
2022-12,Bachelors,4932.31,-355.73,-10.25,-656.93,4932.31,1022.91,4620.86
2022-12,HighSchoolOrCollege,3094.53,-353.3,-14.67,-613.25,3094.53,981.21,2819.91
2022-12,Low,2598.72,-341.71,-11.18,-541.44,2598.72,894.33,2387.81
2023-01,Graduate,6074.2,-367.76,-13.12,-687.83,6074.2,1068.72,5741.0
2023-01,Bachelors,4921.39,-356.87,-10.25,-656.93,4921.39,1024.05,4611.08
2023-01,HighSchoolOrCollege,3087.41,-352.68,-14.67,-613.25,3087.41,980.59,2812.18
2023-01,Low,2603.51,-341.61,-11.18,-541.44,2603.51,894.23,2392.49
2023-02,Graduate,5519.07,-331.38,-13.12,-687.83,5519.07,1032.34,5149.49
2023-02,Bachelors,4476.59,-321.42,-10.25,-656.93,4476.59,988.6,4130.83
2023-02,HighSchoolOrCollege,2804.9,-318.22,-14.67,-613.25,2804.9,946.14,2495.21
2023-02,Low,2360.1,-308.64,-11.18,-541.44,2360.1,861.26,2116.12
2023-03,Graduate,6337.55,-366.54,-13.12,-687.83,6337.55,1067.5,6003.13
2023-03,Bachelors,5130.28,-356.52,-10.25,-656.93,5130.28,1023.7,4819.62
2023-03,HighSchoolOrCollege,3201.48,-352.6,-14.67,-613.25,3201.48,980.52,2926.17
2023-03,Low,2666.47,-341.99,-11.18,-541.44,2666.47,894.61,2455.84
2023-04,Graduate,5534.9,-355.59,-13.12,-687.83,5534.9,1056.55,5189.52
2023-04,Bachelors,4515.65,-346.06,-10.25,-656.93,4515.65,1013.24,4194.53
2023-04,HighSchoolOrCollege,2847.81,-342.39,-14.67,-613.25,2847.81,970.3,2562.29
2023-04,Low,2435.73,-332.02,-11.18,-541.44,2435.73,884.64,2215.13
